,K0(f)N(f),Является макс. кубом,K0(f),Из каких кубов образуется,Является макс. кубом,K1(f),Из каких кубов образуется,Является макс. кубом,Z(f)
0,00100,False,0010X,1-3,False,001XX,"1-11, 2-8",True,001XX
1,10000,False,001X0,1-4,False,X010X,"1-21, 3-10",True,X010X
2,---,False,X0100,1-8,False,X01X0,"2-22, 3-13",True,X01X0
3,00101,False,1000X,2-6,False,100XX,"4-19, 5-16",True,100XX
4,00110,False,100X0,2-7,False,10X0X,"4-21, 6-17",True,10X0X
5,01010,False,10X00,2-8,False,1X00X,"4-24, 7-18",True,1X00X
6,10001,False,1X000,2-9,False,10XX0,"5-22, 6-20",True,10XX0
7,10010,False,---,"-, -, -",False,1XX00,"6-25, 7-23",True,1XX00
8,10100,False,001X1,3-10,False,---,"-, -, -",False,0X1X1
9,11000,False,0X101,3-12,False,0X1X1,"8-28, 9-26",True,0X11X
10,---,False,X0101,3-15,False,0X11X,"11-29, 12-26",True,01X1X
11,00111,False,0011X,4-10,False,01X1X,"14-29, 15-27",True,
12,01011,False,0X110,4-13,False,---,"-, -, -",False,
13,01101,False,X0110,4-16,False,,,,
14,01110,False,0101X,5-11,False,,,,
15,10011,False,01X10,5-13,False,,,,
16,10101,False,100X1,6-14,False,,,,
17,10110,False,10X01,6-15,False,,,,
18,11001,False,1X001,6-17,False,,,,
19,11100,False,1001X,7-14,False,,,,
20,---,False,10X10,7-16,False,,,,
21,01111,False,1010X,8-15,False,,,,
22,---,False,101X0,8-16,False,,,,
23,,,1X100,8-18,False,,,,
24,,,1100X,9-17,False,,,,
25,,,11X00,9-18,False,,,,
26,,,---,"-, -, -",False,,,,
27,,,0X111,10-19,False,,,,
28,,,01X11,11-19,False,,,,
29,,,011X1,12-19,False,,,,
30,,,0111X,13-19,False,,,,
31,,,---,"-, -, -",False,,,,
