,K0(f)N(f),Является макс. кубом,K0(f),Из каких кубов образуется,Является макс. кубом,K1(f),Из каких кубов образуется,Является макс. кубом,K2(f),Из каких кубов образуется,Является макс. кубом,Z(f)
0,00000,False,0000X,1-2,False,000XX,"1-8, 2-5",False,00XXX,"1-8, 2-7, 4-6",True,X0111
1,---,False,000X0,1-3,False,00X0X,"1-10, 3-6",False,---,"-, -, -",False,1X111
2,00001,False,00X00,1-4,False,0X00X,"1-13, 4-7",True,,,,111X1
3,00010,False,0X000,1-5,False,00XX0,"2-11, 3-9",False,,,,0X00X
4,00100,False,---,"-, -, -",False,0XX00,"3-14, 4-12",True,,,,0XX00
5,01000,False,000X1,2-6,False,---,"-, -, -",False,,,,11X1X
6,---,False,00X01,2-7,False,00XX1,"5-16, 6-15",False,,,,00XXX
7,00011,False,0X001,2-9,False,00X1X,"8-17, 9-15",False,,,,
8,00101,False,0001X,3-6,False,001XX,"10-17, 11-16",False,,,,
9,00110,False,00X10,3-8,False,---,"-, -, -",False,,,,
10,01001,False,0010X,4-7,False,11X1X,"16-21, 17-19",True,,,,
11,01100,False,001X0,4-8,False,---,"-, -, -",False,,,,
12,---,False,0X100,4-10,False,,,,,,,
13,00111,False,0100X,5-9,False,,,,,,,
14,11010,False,01X00,5-10,False,,,,,,,
15,---,False,---,"-, -, -",False,,,,,,,
16,10111,False,00X11,6-11,False,,,,,,,
17,11011,False,001X1,7-11,False,,,,,,,
18,11101,False,0011X,8-11,False,,,,,,,
19,11110,False,---,"-, -, -",False,,,,,,,
20,---,False,X0111,11-13,True,,,,,,,
21,11111,False,1101X,12-14,False,,,,,,,
22,---,False,11X10,12-16,False,,,,,,,
23,,,---,"-, -, -",False,,,,,,,
24,,,1X111,13-17,True,,,,,,,
25,,,11X11,14-17,False,,,,,,,
26,,,111X1,15-17,True,,,,,,,
27,,,1111X,16-17,False,,,,,,,
28,,,---,"-, -, -",False,,,,,,,
