,Макс. кубы,01010,01011,01101,01110,01111,10000,10001,10010,10011,10100,10101,10110,11000,11001,11100
0,001XX, , , , , , , , , , , , , , , 
1,X010X, , , , , , , , , ,*,*, , , , 
2,X01X0, , , , , , , , , ,*, ,*, , , 
3,100XX, , , , , ,*,*,*,*, , , , , , 
4,10X0X, , , , , ,*,*, , ,*,*, , , , 
5,1X00X, , , , , ,*,*, , , , , ,*,*, 
6,10XX0, , , , , ,*, ,*, ,*, ,*, , , 
7,1XX00, , , , , ,*, , , ,*, , ,*, ,*
8,0X1X1, , ,*, ,*, , , , , , , , , , 
9,0X11X, , , ,*,*, , , , , , , , , , 
10,01X1X,*,*, ,*,*, , , , , , , , , , 
