,x1x2x3x4x5,x4x5,(x4x5)10,x1x2x3,(x1x2x3)10,(x4x5+x1x2x3)10,f
0,00000,00,0,000,0,0,0
1,00001,01,1,000,0,1,0
2,00010,10,2,000,0,2,0
3,00011,11,3,000,0,3,0
4,00100,00,0,001,1,1,d
5,00101,01,1,001,1,2,d
6,00110,10,2,001,1,3,d
7,00111,11,3,001,1,4,d
8,01000,00,0,010,2,2,0
9,01001,01,1,010,2,3,0
10,01010,10,2,010,2,4,1
11,01011,11,3,010,2,5,1
12,01100,00,0,011,3,3,0
13,01101,01,1,011,3,4,1
14,01110,10,2,011,3,5,1
15,01111,11,3,011,3,6,1
16,10000,00,0,100,4,4,1
17,10001,01,1,100,4,5,1
18,10010,10,2,100,4,6,1
19,10011,11,3,100,4,7,1
20,10100,00,0,101,5,5,1
21,10101,01,1,101,5,6,1
22,10110,10,2,101,5,7,1
23,10111,11,3,101,5,8,0
24,11000,00,0,110,6,6,1
25,11001,01,1,110,6,7,1
26,11010,10,2,110,6,8,0
27,11011,11,3,110,6,9,0
28,11100,00,0,111,7,7,1
29,11101,01,1,111,7,8,0
30,11110,10,2,111,7,9,0
31,11111,11,3,111,7,10,0
