,a1,a2,a3,a4,a5,C0,C1,C2,C3,C4
0,0,0,0,0,0,-,-,-,-,-
1,0,0,0,0,1,0,0,0,0,0
2,0,0,0,1,0,0,0,0,0,1
3,0,0,0,1,1,0,0,0,1,0
4,0,0,1,0,0,0,0,0,1,1
5,0,0,1,0,1,0,0,1,0,0
6,0,0,1,1,0,0,0,1,0,1
7,0,0,1,1,1,0,0,1,1,0
8,0,1,0,0,0,0,0,1,1,1
9,0,1,0,0,1,0,1,0,0,0
10,0,1,0,1,0,0,1,0,0,1
11,0,1,0,1,1,0,1,0,1,0
12,0,1,1,0,0,0,1,0,1,1
13,0,1,1,0,1,0,1,1,0,0
14,0,1,1,1,0,0,1,1,0,1
15,0,1,1,1,1,0,1,1,1,0
16,1,0,0,0,0,0,1,1,1,1
17,1,0,0,0,1,1,0,0,0,0
18,1,0,0,1,0,1,0,0,0,1
19,1,0,0,1,1,1,0,0,1,0
20,1,0,1,0,0,1,0,0,1,1
21,1,0,1,0,1,1,0,1,0,0
22,1,0,1,1,0,1,0,1,0,1
23,1,0,1,1,1,1,0,1,1,0
24,1,1,0,0,0,1,0,1,1,1
25,1,1,0,0,1,1,1,0,0,0
26,1,1,0,1,0,1,1,0,0,1
27,1,1,0,1,1,1,1,0,1,0
28,1,1,1,0,0,1,1,0,1,1
29,1,1,1,0,1,1,1,1,0,0
30,1,1,1,1,0,0,0,0,0,0
31,1,1,1,1,1,0,0,0,0,1
