?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн
480,AF80,480,0000,000,0000,000,0000,0000,004,0100
480,AF80,481,AF80,480,FF80,000,FF80,FF80,008,1000
481,0740,482,0740,481,0740,000,0481,FF7F,009,1001
482,0680,483,0680,482,0680,000,0482,7FFF,001,0001
483,EEFB,484,EEFB,47F,7FFF,000,FFFB,7FFF,001,0001,47F,7FFF
484,AF04,485,AF04,484,0004,000,0004,0004,001,0001
485,EEF8,486,EEF8,47E,0004,000,FFF8,0004,001,0001,47E,0004
486,4EF5,487,4EF5,47C,0495,000,FFF5,0499,000,0000
487,EEF5,488,EEF5,47D,0499,000,FFF5,0499,000,0000,47D,0499
488,ABF4,489,ABF4,498,8001,000,FFF4,8001,008,1000,47D,0498
489,0480,48A,0480,489,0480,000,0489,4000,003,0011
48A,F407,492,F407,48A,F407,000,0007,4000,003,0011
492,847E,493,847E,47E,0003,000,0002,4000,003,0011,47E,0003
493,CEF4,488,CEF4,493,0488,000,FFF4,4000,003,0011
488,ABF4,489,ABF4,497,BFC8,000,FFF4,BFC8,009,1001,47D,0497
489,0480,48A,0480,489,0480,000,0489,DFE4,00A,1010
48A,F407,48B,F407,48A,F407,000,048A,DFE4,00A,1010
48B,0480,48C,0480,48B,0480,000,048B,6FF2,000,0000
48C,F405,48D,F405,48C,F405,000,048C,6FF2,000,0000
48D,0400,48E,0400,48D,0400,000,048D,DFE4,00A,1010
48E,0400,48F,0400,48E,0400,000,048E,BFC8,009,1001
48F,7EEF,490,7EEF,47F,7FFF,000,FFEF,BFC8,003,0011
490,F901,491,F901,490,F901,000,0490,BFC8,003,0011
491,EEED,492,EEED,47F,BFC8,000,FFED,BFC8,003,0011,47F,BFC8
492,847E,493,847E,47E,0002,000,0001,BFC8,003,0011,47E,0002
493,CEF4,488,CEF4,493,0488,000,FFF4,BFC8,003,0011
488,ABF4,489,ABF4,496,0CCC,000,FFF4,0CCC,001,0001,47D,0496
489,0480,48A,0480,489,0480,000,0489,8666,00A,1010
48A,F407,48B,F407,48A,F407,000,048A,8666,00A,1010
48B,0480,48C,0480,48B,0480,000,048B,4333,000,0000
48C,F405,48D,F405,48C,F405,000,048C,4333,000,0000
48D,0400,48E,0400,48D,0400,000,048D,8666,00A,1010
48E,0400,48F,0400,48E,0400,000,048E,0CCC,003,0011
48F,7EEF,490,7EEF,47F,BFC8,000,FFEF,0CCC,000,0000
490,F901,492,F901,490,F901,000,0001,0CCC,000,0000
492,847E,493,847E,47E,0001,000,0000,0CCC,000,0000,47E,0001
493,CEF4,488,CEF4,493,0488,000,FFF4,0CCC,000,0000
488,ABF4,489,ABF4,495,0000,000,FFF4,0000,004,0100,47D,0495
489,0480,48A,0480,489,0480,000,0489,0000,004,0100
48A,F407,48B,F407,48A,F407,000,048A,0000,004,0100
48B,0480,48C,0480,48B,0480,000,048B,0000,004,0100
48C,F405,48D,F405,48C,F405,000,048C,0000,004,0100
48D,0400,48E,0400,48D,0400,000,048D,0000,004,0100
48E,0400,48F,0400,48E,0400,000,048E,0000,004,0100
48F,7EEF,490,7EEF,47F,BFC8,000,FFEF,0000,000,0000
490,F901,492,F901,490,F901,000,0001,0000,000,0000
492,847E,494,847E,47E,0000,000,FFFF,0000,000,0000,47E,0000
494,0100,495,0100,494,0100,000,0494,0000,000,0000
