?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн
12F,0200,12F,0000,000,0000,000,0000,0000,004,0100
12F,0200,130,0200,12F,0200,000,012F,0000,004,0100
130,AE12,131,AE12,143,056D,000,0012,056D,000,0000
131,EE12,132,EE12,144,056D,000,0012,056D,000,0000,144,056D
132,DECD,100,DECD,7FF,0133,7FF,0100,056D,000,0000,7FF,0133
100,1207,101,1207,100,1207,7FF,0100,0540,000,0000
101,2F40,102,2F40,101,0040,7FF,0040,0040,000,0000
102,F0FD,103,F0FD,102,F0FD,7FF,0102,0040,000,0000
103,1206,104,1206,103,1206,7FF,0103,006C,000,0000
104,0A00,133,0A00,7FF,0133,000,0104,006C,000,0000
133,7F0D,134,7F0D,133,000D,000,000D,006C,001,0001
134,F009,135,F009,134,F009,000,0134,006C,001,0001
135,0680,136,0680,135,0680,000,0135,6C00,001,0001
136,E80D,137,E80D,56D,6C00,000,000D,6C00,001,0001,56D,6C00
137,DEC8,100,DEC8,7FF,0138,7FF,0100,6C00,001,0001,7FF,0138
100,1207,101,1207,100,1207,7FF,0100,6C00,001,0001
101,2F40,102,2F40,101,0040,7FF,0040,0000,005,0101
102,F0FD,100,F0FD,102,F0FD,7FF,FFFD,0000,005,0101
100,1207,101,1207,100,1207,7FF,0100,0040,005,0101
101,2F40,102,2F40,101,0040,7FF,0040,0040,001,0001
102,F0FD,103,F0FD,102,F0FD,7FF,0102,0040,001,0001
103,1206,104,1206,103,1206,7FF,0103,0061,001,0001
104,0A00,138,0A00,7FF,0138,000,0104,0061,001,0001
138,7F0D,139,7F0D,138,000D,000,000D,0061,001,0001
139,F006,13A,F006,139,F006,000,0139,0061,001,0001
13A,4809,13B,4809,56D,6C00,000,0009,6C61,000,0000
13B,EA08,13C,EA08,56D,6C61,000,0008,6C61,000,0000,144,056E
,                                 ,56D,6C61
13C,CEF5,132,CEF5,13C,0132,000,FFF5,6C61,000,0000
132,DECD,100,DECD,7FF,0133,7FF,0100,6C61,000,0000,7FF,0133
100,1207,101,1207,100,1207,7FF,0100,6C00,000,0000
101,2F40,102,2F40,101,0040,7FF,0040,0000,004,0100
102,F0FD,100,F0FD,102,F0FD,7FF,FFFD,0000,004,0100
100,1207,101,1207,100,1207,7FF,0100,0040,004,0100
101,2F40,102,2F40,101,0040,7FF,0040,0040,000,0000
102,F0FD,103,F0FD,102,F0FD,7FF,0102,0040,000,0000
103,1206,104,1206,103,1206,7FF,0103,000D,000,0000
104,0A00,133,0A00,7FF,0133,000,0104,000D,000,0000
133,7F0D,134,7F0D,133,000D,000,000D,000D,005,0101
134,F009,13E,F009,134,F009,000,0009,000D,005,0101
13E,0680,13F,0680,13E,0680,000,013E,0D00,001,0001
13F,CE01,141,CE01,13F,0141,000,0001,0D00,001,0001
141,E802,142,E802,56E,0D00,000,0002,0D00,001,0001,56E,0D00
142,0100,143,0100,142,0100,000,0142,0D00,001,0001
